                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.049,                 4.8345,                 4.3469,                 1.4769,                0.00327,                0.55603,                0.04578,                0.02819,                0.00343,                0.58251,                 0.0498,                0.02843,                 1.7254,                 4.3336,                 3.7503,                 1.4013,             0.00018337,             0.00018337,             0.00018337
                      2,                 1.4361,                 2.6254,                  3.739,                 1.2372,                0.07466,                 0.0431,                0.07049,                0.04286,                0.08959,                0.05172,                0.07357,                0.04678,                 1.2595,                 3.0169,                 3.2405,                 1.2425,             0.00038088,             0.00038088,             0.00038088
                      3,                 1.2214,                 2.1982,                 3.1532,                 1.1621,                0.18163,                0.35581,                0.18645,                0.13845,                0.18608,                 0.3553,                0.18638,                0.14758,                 1.2659,                 2.6212,                 2.9296,                 1.2927,             0.00057575,             0.00057575,             0.00057575
                      4,                 1.1255,                 2.0199,                 2.5127,                   1.09,                0.35294,                0.39286,                0.43878,                 0.3554,                0.35294,                0.39286,                0.43737,                0.36965,                 1.1624,                 2.5234,                  2.747,                 1.2288,             0.00076798,             0.00076798,             0.00076798
                      5,                 1.1263,                 1.8409,                  2.033,                 1.1392,                0.50386,                 0.5234,                0.54002,                0.42082,                0.47468,                0.53202,                0.54874,                0.42269,                 1.1263,                 2.3391,                   2.13,                 1.2093,             0.00095756,             0.00095756,             0.00095756
                      6,                 1.1411,                  1.868,                 1.8632,                 1.1119,                0.76397,                 0.5654,                0.65769,                0.51893,                0.76397,                 0.5654,                0.66773,                0.51351,                 1.0506,                 2.1349,                 1.5629,                 1.1444,              0.0011445,              0.0011445,              0.0011445
                      7,                 1.0705,                 1.8007,                 1.6323,                 1.0896,                0.62024,                 0.6016,                0.64334,                0.51661,                0.62024,                 0.6016,                0.63751,                0.51107,                  1.062,                 2.0524,                 1.5776,                 1.1578,              0.0013288,              0.0013288,              0.0013288
                      8,                 1.0677,                 1.7639,                 1.5741,                 1.1015,                0.67594,                0.68904,                0.70552,                0.53165,                0.66027,                0.68364,                0.67875,                0.52797,                 1.0776,                 2.0565,                 1.3983,                  1.122,              0.0015105,              0.0015105,              0.0015105
                      9,                 1.0513,                 1.7411,                 1.3658,                 1.1006,                0.72968,                 0.6798,                0.69851,                 0.5366,                 0.7439,                0.69704,                0.70008,                0.55264,                 1.0585,                 2.0789,                 1.3968,                 1.1299,               0.001579,               0.001579,               0.001579
                     10,                 1.0685,                 1.6545,                 1.3505,                 1.1034,                0.80333,                 0.6718,                0.73559,                0.56945,                0.81053,                0.67995,                0.74875,                0.59063,                 1.0618,                 2.0095,                 1.2564,                 1.1297,               0.001568,               0.001568,               0.001568
                     11,                 1.0444,                  1.616,                 1.2415,                  1.097,                0.83512,                0.74938,                0.78131,                0.55969,                0.83512,                0.74938,                0.79101,                0.58626,                 1.1098,                 1.9706,                 1.2143,                 1.1952,               0.001557,               0.001557,               0.001557
                     12,                 1.0062,                 1.4725,                 1.0937,                 1.0559,                0.90486,                0.72352,                0.78384,                0.60084,                0.86345,                0.74938,                0.79441,                0.62197,                 1.0619,                  2.016,                 1.0489,                 1.2021,               0.001546,               0.001546,               0.001546
                     13,                0.99822,                 1.5726,                 1.0984,                 1.0666,                0.87457,                0.73214,                0.79457,                0.59044,                0.87457,                0.73214,                0.79439,                0.61671,                 1.0506,                 1.9867,                0.98745,                 1.1554,               0.001535,               0.001535,               0.001535
                     14,                 1.0002,                 1.5597,                 1.1161,                 1.0543,                0.86798,                0.74076,                0.80177,                0.60225,                0.86798,                0.74076,                 0.8025,                0.61309,                 1.0595,                 1.8551,                0.99462,                 1.1609,               0.001524,               0.001524,               0.001524
                     15,                0.93734,                 1.4661,                0.95962,                 1.0325,                0.88923,                0.68042,                0.75616,                 0.5845,                0.88923,                0.68042,                0.75441,                0.59044,                 1.1043,                  1.876,                 1.1128,                 1.1905,               0.001513,               0.001513,               0.001513
                     16,                 1.0016,                 1.6122,                 1.0667,                 1.0712,                 0.8556,                0.73214,                0.77529,                0.60707,                0.89027,                0.74076,                0.78871,                0.61297,                 1.1052,                 2.0073,                 1.0512,                 1.1601,               0.001502,               0.001502,               0.001502
