                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3207,                  2.175,                 2.8577,                 1.1679,                0.00484,                0.67873,                0.18631,                0.12574,                0.00513,                0.71946,                0.19231,                0.13668,                 1.1933,                 1.8957,                 3.5763,                 1.0735,             0.00065359,             0.00065359,             0.00065359
                      2,                 1.2934,                 1.8647,                 1.9022,                 1.1653,                0.24603,                0.26244,                0.19037,                0.11634,                0.24535,                 0.2648,                  0.192,                0.12819,                  1.287,                 2.1802,                 2.6672,                 1.1901,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.3424,                 1.9675,                 1.7116,                 1.1697,                0.43322,                0.42986,                0.31558,                0.16473,                0.42866,                0.42534,                0.31506,                0.15217,                 1.4092,                 2.7505,                  2.351,                 1.2781,              0.0019476,              0.0019476,              0.0019476
                      4,                 1.3152,                 1.8938,                 1.4377,                 1.1943,                0.63114,                0.62896,                0.64075,                0.36925,                0.63882,                0.63225,                0.64563,                0.38715,                 1.4328,                 2.1076,                 1.5293,                 1.3774,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2763,                 1.7894,                 1.2771,                 1.1727,                0.85819,                0.78733,                0.85225,                0.55283,                0.85819,                0.78733,                  0.847,                0.53888,                 1.1946,                 1.9215,                 1.0409,                 1.1926,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2432,                 1.7279,                  1.124,                 1.1365,                0.79462,                0.75566,                0.82077,                 0.5295,                0.80627,                0.76471,                0.82811,                0.57259,                 1.2159,                 1.6063,                 1.0899,                 1.1551,               0.001901,               0.001901,               0.001901
                      7,                 1.2335,                  1.746,                  1.069,                  1.146,                 0.8236,                0.77828,                0.85851,                0.54534,                0.82485,                0.79186,                0.86126,                0.56365,                 1.2403,                 1.6361,                0.99017,                 1.1646,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2226,                 1.7211,                0.99395,                 1.1251,                0.82973,                 0.8371,                0.89466,                0.59477,                0.83086,                 0.8371,                0.89767,                0.60837,                 1.1708,                 1.5232,                0.88201,                  1.138,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1849,                 1.6829,                0.95254,                 1.1239,                0.86288,                0.77828,                0.87911,                0.60175,                0.86246,                0.79186,                0.88821,                0.60593,                 1.1576,                 1.6299,                0.89256,                  1.142,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1545,                 1.7047,                0.92683,                  1.101,                0.87598,                0.82353,                0.89836,                0.60247,                0.87116,                  0.819,                0.89131,                0.60548,                 1.1739,                 1.6222,                0.87309,                 1.1286,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1595,                  1.653,                0.89356,                 1.1078,                0.87538,                0.79465,                0.86632,                 0.6012,                0.86079,                0.78343,                0.85897,                0.59859,                 1.1016,                 1.6063,                0.86727,                 1.1263,               0.001802,               0.001802,               0.001802
